No,Name,Pos,Yr,Ht,Wt,Hometown,Last School,Season
34,"Hyde, Carlos",RB,SR,6-1,235,"Naples, FL",Naples,2013
36,"Johnson, Trey",LB,FR,6-1,220,"Lawrenceville, GA",Central Gwinnett,2013
95,"Johnston, Cameron",P,FR,5-11,190,"Geelong, Australia",St. Joseph's,2013
12,"Jones, Cardale",QB,FR,6-5,250,"Cleveland, OH",Glenville,2013
84,"Kinzig, Charles",TE,JR,6-6,235,"Gates Mills, OH",Notre Dame Cathedral Latin,2013
69,"Kramer, Eric",OL,JR,6-4,295,"Cincinnati, OH",St. Xavier,2013
43,"Lee, Darron",LB,FR,6-1,219,"New Albany, OH",New Albany,2013
59,"Lewis, Tyquan",DE,FR,6-3,255,"Tarboro, NC",Tarboro,2013
71,"Linsley, Corey",OL,SR,6-3,297,"Youngstown, OH",Boardman,2013
75,"Lisle, Evan",OL,FR,6-6,297,"Centerville, OH",Centreville,2013
56,"Makridis, George",LS,SR,6-2,234,"Warren, OH",Warren G. Harding,2013
34,"Marcus, Jamal",DE,SO,6-2,240,"Durham, NC",Hillside,2013
17,"Marshall, Jalin",WR,FR,5-11,199,"Middletown, OH",Middletown,2013
41,"Mawhirter, Aaron",LB,FR,6-2,220,"Sandusky, OH",Perkins,2013
21,"McDaniel, Devlin",WR,FR,5-11,200,"Marion, OH",Pleasant,2013
42,"McIntosh, Tyler",CB,JR,6-2,200,"Hilliard, OH",Darby,2013
74,"Mewhort, Jack",OL,SR,6-6,308,"Toledo, OH",St. John's Jesuit,2013
5,"Miller, Braxton",QB,JR,6-2,215,"Huber Heights, OH",Wayne,2013
88,"Miller, Steve",DL,JR,6-3,255,"Canton, OH",McKinley,2013
18,"Mitchell, Kato",WR,SO,5-11,184,"Cleveland, OH",John Hay,2013
44,"Mitchell, Mike",LB,FR,6-3,222,"Plano, TX",Prestonwood Christian Academy,2013
62,"Moffitt, Ben",OL,FR,6-3,308,"Shelby Township, MI",Eisenhower,2013
8,"Moore, J.T.",TE,JR,6-3,260,"Youngstown, OH",Boardman,2013
15,"Morgan, Luke",QB,FR,6-2,225,"Lebanon, OH",Lebanon,2013
52,"Munger, Donovan",DL,FR,6-4,290,"Shaker Heights, OH",Shaker Heights,2013
25,"Niehoff, Kevin",S,SO,6-2,203,"Mason, OH",Mason,2013
78,"Norwell, Andrew",OL,SR,6-6,316,"Cincinnati, OH",Anderson,2013
88,"Ojikutu, Brandon",WR,SO,6-2,207,"Cleveland, OH",John Marshall,2013
37,"Perry, Joshua",LB,SO,6-4,246,"Galena, OH",Olentangy,2013
23,"Powell, Tyvis",DB,FR,6-3,207,"Bedford, OH",Bedford,2013
54,"Price, Billy",OL,FR,6-3,299,"Austintown, OH",Fitch,2013
19,"Ramstetter, Joe",WR,FR,6-3,210,"Cincinnati, OH",Elder,2013
26,"Reeves, Armani",CB,SO,5-10,198,"West Roxbury, MA",Catholic Memorial,2013
1,"Roby, Bradley",CB,JR,5-11,192,"Suwanee, GA",Peachtree Ridge,2013
91,"Rock, Chris",DL,SO,6-4,272,"Columbus, OH",DeSales,2013
14,"Russell, Jake",P,SO,6-1,195,"Twinsburg, OH",Twinsburg,2013
33,"Sarac, Nik",CB,SO,5-9,182,"Cleveland, OH",St. Ignatius,2013
90,"Schutt, Tommy",DL,SO,6-1,299,"Glen Ellyn, IL",Glenbard West,2013
23,"Scott, Tim",K,JR,5-11,185,"Norton, OH",Norton,2013
10,"Shazier, Ryan",LB,JR,6-2,230,"Pompano Beach, FL",Plantation,2013
84,"Smith, Corey",WR,JR,6-1,191,"Akron, OH",Akron Buchtel,2013
9,"Smith, Devin",WR,JR,6-1,198,"Massillon, OH",Washington,2013
2,"Smith, Rod",RB,JR,6-3,232,"Fort Wayne, IN",Paul Harding,2013
46,"Snyder, Nick",LB,SO,6-1,210,"Columbus, OH",Westerville South,2013
8,"Spence, Noah",DL,SO,6-3,252,"Harrisburg, PA",Bishop McDevitt,2013
6,"Spencer, Evan",WR,JR,6-2,205,"Vernon Hills, IL",Vernon Hills,2013
93,"Sprinkle, Tracy",DL,FR,6-2,275,"Elyria, OH",Elyria,2013
67,"St. John, Ben",OL,JR,6-3,288,"Elmore, OH",Woodmore,2013
20,"Tanner, Ron",DB,SO,6-1,200,"Columbus, OH",Eastmoor Academy,2013
89,"Thomas, Blake",TE,FR,6-5,250,"Cleveland, OH",St. Ignatius,2013
83,"Thomas, Michael",WR,SO,6-3,202,"Los Angeles, CA",Woodland Hills Taft,2013
29,"Thompson, Jayme",S,FR,6-1,190,"Toledo, OH",Central Catholic,2013
73,"Underwood, Antonio",OL,JR,6-2,303,"Shaker Heights, OH",Shaker Heights,2013
81,"Vannett, Nick",TE,SO,6-6,255,"Westerville, OH",Central,2013
92,"Washington, Adolphus",DL,SO,6-4,295,"Cincinnati, OH",Taft,2013
55,"Williams, Camren",LB,SO,6-1,231,"West Roxbury, MA",Catholic Memorial,2013
1,"Wilson, Dontre",RB,FR,5-10,180,"DeSoto, TX",DeSoto,2013
21,"Wood, Jamie",DB,SR,6-1,210,"Pickerington, OH",Central,2013
35,"Worley, Chris",S,FR,6-1,204,"Cleveland, OH",Glenville,2013
11,"Worstell, Reid",QB,FR,6-2,220,"Canton, OH",GlenOak,2013
76,"Baldwin, Darryl",OL,SO,6-5,300,"Solon, OH",Solon,2012
28,"Ball, Warren",RB,FR,6-1,215,"Columbus, OH",DeSales,2012
4,"Barnett, C.J.",DB,JR,6-1,202,"Dayton, OH",Northmont,2012
24,"Basil, Drew",P,JR,6-1,210,"Chillicothe, OH",Chillicothe,2012
63,"Bennett, Michael",DL,SO,6-3,285,"Centerville, OH",Centerville,2012
62,"Beougher, Logan",OL,FR,6-3,275,"Alexandria, VA",Mount Vernon,2012
64,"Blackman, Ivon",OL,JR,6-3,310,"Bedford, OH",Bedford,2012
88,"Blount, Stacey",WR,SO,6-2,195,"Powell, OH",Dublin Scioto,2012
30,"Bogard, Devan",DB,FR,6-1,192,"Cleveland, OH",Glenville,2012
50,"Boren, Jacoby",OL,FR,6-2,287,"Pickerington, OH",Central,2012
44,"Boren, Zach",FB,SR,6-1,245,"Pickerington, OH",Pickerington,2012
56,"Britt, Dalton",DL,SR,6-2,285,"Bellville, OH",Clear Fork,2012
10,"Brown, Corey",WR,JR,6-1,186,"Upper Darby, PA",Cardinal O'Hara,2012
3,"Brown, Corey",DB,JR,6-1,197,"Monroeville, PA",Gateway,2012
55,"Brown, Tommy",OL,FR,6-4,315,"Akron, OH",Firestone,2012
2,"Bryant, Christian",DB,JR,5-10,192,"Cleveland, OH",Glenville,2012
17,"Buchanan, Ben",P,SR,5-11,192,"Westerville, OH",Westerville Central,2012
48,"Burger, Joe",LB,FR,6-1,225,"Cincinnati, OH",LaSalle,2012
72,"Carter, Chris",DL,FR,6-4,340,"Cleveland, OH",John F. Kennedy,2012
82,"Carter, Ryan",TE,FR,6-6,225,"Reynoldsburg, OH",Reynoldsburg,2012
35,"Cataline, Craig",FB,SO,6-2,226,"Columbus, OH",Grandview Heights,2012
39,"Clinton, Kyle",K,SO,6-1,215,"Dublin, OH",Coffman,2012
36,"Crowell, Conner",LB,FR,6-1,235,"Waldorf, MD",North Point,2012
68,"Decker, Taylor",OL,FR,6-7,313,"Vandalia, OH",Butler,2012
66,"Dodson, Kyle",OL,FR,6-5,315,"Cleveland, OH",Cleveland Heights,2012
16,"Domicone, Zach",DB,SR,6-2,216,"Beavercreek, OH",Beavercreek,2012
20,"Doup, Russell",K,SO,6-2,195,"Mt. Vernon, OH",Mt. Vernon,2012
25,"Dunn, Bri'onte",RB,FR,6-1,210,"Canton, OH",GlenOak,2012
65,"Elflein, Pat",OL,FR,6-3,290,"Pickerington, OH",Pickerington North,2012
33,"Epitropoulos, Frank",WR,FR,6-1,197,"Upper Arlington, OH",Upper Arlington,2012
38,"Fada, Craig",LB,FR,6-1,225,"Columbus, OH",Bishop Watterson,2012
57,"Farris, Chase",OL,FR,6-4,290,"Elyria, OH",Elyria,2012
80,"Fields, Chris",WR,JR,6-1,197,"Painesville, OH",Painesville Harvey,2012
77,"Fragel, Reid",OL,SR,6-8,310,"Grosse Pointe Farms, MI",Grosse Point South,2012
94,"Frazier, Rashad",DL,SO,6-4,270,"Middletown, OH",Middletown,2012
53,"Goebel, Garrett",DL,SR,6-4,290,"Villa Park, IL",Montini,2012
14,"Grant, Curtis",LB,SO,6-3,235,"Richmond, VA",Hermitage,2012
12,"Grant, Doran",CB,SO,5-11,188,"Akron, OH",St. Vincent-St. Mary,2012
9,"Griffin, Adam",CB,SO,5-8,180,"Columbus, OH",DeSales,2012
13,"Guiton, Kenny",QB,JR,6-3,210,"Houston, TX",Eisenhower,2012
87,"Gwilym, Peter",WR,FR,6-1,195,"Freeport, ME",Cheverus,2012
51,"Hale, Joel",DT,SO,6-4,295,"Greenwood, IN",Center Grove,2012
7,"Hall, Jordan",RB,SR,5-9,194,"Jeannette, PA",Jeannette,2012
79,"Hall, Marcus",OL,JR,6-5,315,"Cleveland, OH",Glenville,2012
52,"Hankins, Johnathan",DL,JR,6-3,322,"Dearborn Heights, MI",Southeastern,2012
41,"Haynes, Bryce",LS,FR,6-4,220,"Cumming, GA",Pinecrest Academy,2012
86,"Heuerman, Jeff",TE,SO,6-5,250,"Naples, FL",Barron Collier,2012
97,"Holman, John",DL,SO,6-4,290,"Riverdale, GA",Union Grove,2012
49,"Homan, Adam",RB,SR,6-3,245,"Coldwater, OH",Coldwater,2012
7,"Howard, Travis",CB,SR,6-1,200,"Miami, FL",Dr. Krop,2012
34,"Hyde, Carlos",RB,JR,6-1,232,"Naples, FL",Naples,2012
19,"Johnson, Orhian",DB,SR,6-3,210,"St. Petersburg, FL",Boca Ciega,2012
12,"Jones, Cardale",QB,FR,6-5,235,"Cleveland, OH",Glenville,2012
85,"Kangah, Frank",WR,FR,6-1,195,"Euclid, OH",Euclid,2012
32,"Klein, Storm",LB,SR,6-2,242,"Newark, OH",Licking Valley,2012
69,"Kramer, Eric",OL,SO,6-4,290,"Cincinnati, OH",St. Xavier,2012
71,"Linsley, Corey",OL,JR,6-3,295,"Youngstown, OH",Boardman,2012
56,"Makridis, George",LS,JR,6-2,230,"Warren, OH",Warren G. Harding,2012
34,"Marcus, Jamal",LB,FR,6-2,225,"Durham, NC",Hillside,2012
97,"Mbemba, Claudius",DL,FR,6-2,235,"Lewis Center, OH",Olentangy,2012
91,"McCary, William",DL,SR,6-1,234,"Carrollton, TX",Creekview,2012
74,"Mewhort, Jack",OL,JR,6-6,312,"Toledo, OH",St. John's,2012
5,"Miller, Braxton",QB,SO,6-2,220,"Huber Heights, OH",Wayne,2012
88,"Miller, Steve",DL,SO,6-3,255,"Canton, OH",McKinley,2012
50,"Moore, J.T.",DL,SO,6-3,260,"Youngstown, OH",Boardman,2012
18,"Murray, Najee",DB,FR,5-9,178,"Steubenville, OH",Steubenville,2012
26,"Niehoff, Kevin",K,FR,6-3,200,"Mason, OH",Mason,2012
78,"Norwell, Andrew",OL,JR,6-6,310,"Cincinnati, OH",Anderson,2012
60,"O'Connor, Joey",OL,FR,6-3,305,"Windsor, CO",Windsor,2012
20,"Oltorik, Ross",LB,SR,6-1,225,"Cincinnati, OH",Moeller,2012
25,"Perkins, David",LB,FR,6-2,220,"South Bend, IN",Washington,2012
15,"Perry, Joshua",LB,FR,6-4,238,"Lewis Center, OH",Olentangy,2012
35,"Petrella, Vincent",DB,SR,5-11,175,"Blacklick, OH",Bishop Hartley,2012
95,"Pittman, Se'Von",DL,FR,6-3,268,"Canton, OH",McKinley,2012
23,"Powell, Tyvis",DB,FR,6-3,199,"Bedford, OH",Bedford,2012
19,"Ratliff, Levi",QB,FR,6-3,195,"West Portsmouth, OH",Portsmouth West,2012
9,"Reed, Verlon",WR,SO,6-1,205,"Columbus, OH",Marion-Franklin,2012
24,"Reeves, Armani",CB,FR,5-10,194,"West Roxbury, MA",Catholic Memorial,2012
29,"Rice, Taylor",WR,SR,5-10,185,"Dublin, OH",Scioto,2012
42,"Roberts, Luke",LB,FR,6-1,226,"Lancaster, OH",Lancaster,2012
1,"Roby, Bradley",DB,SO,5-11,190,"Suwanee, GA",Peachtree Ridge,2012
6,"Sabino, Etienne",LB,SR,6-3,237,"North Miami Beach, FL",Dr. Krop,2012
33,"Sarac, Nik",DB,FR,5-9,182,"Cleveland, OH",St. Ignatius,2012
90,"Schutt, Tommy",DL,FR,6-2,295,"Glen Ellyn, IL",Glenbard West,2012
10,"Shazier, Ryan",LB,SO,6-2,230,"Plantation, FL",Plantation,2012
17,"Siems, Justin",QB,SR,6-2,215,"Charlotte, NC",Providence,2012
54,"Simon, John",DL,SR,6-2,263,"Youngstown, OH",Cardinal Mooney,2012
15,"Smith, Devin",WR,SO,6-1,200,"Massillon, OH",Washington,2012
2,"Smith, Rod",RB,SO,6-3,228,"Fort Wayne, IN",Paul Harding,2012
59,"Smith, Stewart",LB,SR,6-3,230,"New Albany, OH",Gahanna Lincoln,2012
8,"Southward, Ricquan",WR,FR,6-1,185,"Lakeland, FL",Lakeland,2012
8,"Spence, Noah",DL,FR,6-3,240,"Harrisburg, PA",Bishop McDevitt,2012
16,"Spencer, Evan",WR,SO,6-2,205,"Vernon Hills, IL",Vernon Hills,2012
67,"St. John, Ben",OL,SO,6-3,285,"Elmore, OH",Woodmore,2012
96,"Stephens, Kharim",DL,SR,6-2,280,"St. Albans, NY",Martin Van,2012
11,"Stoneburner, Jake",TE,SR,6-5,245,"Dublin, OH",Dublin Coffman,2012
28,"Tanner, Ron",DB,FR,6-1,200,"Columbus, OH",Eastmoor Academy,2012
89,"Thomas, Blake",TE,FR,6-3,238,"Cleveland, OH",St. Ignatius,2012
83,"Thomas, Michael",WR,FR,6-2,198,"Los Angeles, CA",Woodland Hills Taft,2012
70,"Trummer, Tim",OL,FR,6-1,283,"Kettering, OH",Fairmont,2012
73,"Underwood, Antonio",OL,SO,6-2,306,"Shaker Heights, OH",Shaker Heights,2012
81,"Vannett, Nick",TE,FR,6-6,255,"Westerville, OH",Central,2012
92,"Washington, Adolphus",DL,FR,6-3,289,"Cincinnati, OH",Taft,2012
5,"Williams, Camren",LB,FR,6-1,225,"West Roxbury, MA",Catholic Memorial,2012
43,"Williams, Nathan",DL,SR,6-3,249,"Washington C.H., OH",Miami Trace,2012
18,"Williams, Tyrone",WR,SO,6-6,229,"East Cleveland, OH",Shaw,2012
32,"Wood, Darryl",RB,SO,5-9,247,"Columbus, OH",Eastmoor Academy,2012
21,"Wood, Jamie",DB,JR,6-1,207,"Pickerington, OH",Central,2012
75,"Adams, Mike",OL,SR,6-8,320,"Dublin, OH",Dublin Coffman,2011
8,"Allen, Dionte",DB,SR,5-11,185,"Detroit, MI",St. Mary's,2011
48,"Bain, Dan",LB,SR,6-2,230,"Virginia Beach, VA",Cape Henry,2011
90,"Baldwin, Darryl",DL,FR,6-4,290,"Solon, OH",Solon,2011
4,"Barnett, C.J.",DB,SO,6-1,190,"Dayton, OH",Northmont,2011
24,"Basil, Drew",P,SO,6-1,212,"Chillicothe, OH",Chillicothe,2011
14,"Bauserman, Joe",QB,SR,6-1,230,"Strasburg, VA",Lincoln,2011
93,"Bellamy, Adam",DL,SO,6-4,302,"Aurora, OH",Aurora,2011
63,"Bennett, Michael",DL,FR,6-3,280,"Centerville, OH",Centerville,2011
4,"Berry, Jaamal",RB,SO,5-10,200,"Pinecrest, FL",Miami Palmetto,2011
64,"Blackman, Ivon",OL,SO,6-3,322,"Bedford, OH",Bedford,2011
68,"Blankenship, Evan",DL,SR,6-3,288,"Monaca, PA",Center Area,2011
51,"Bobek, Brian",OL,FR,6-2,280,"Inverness, IL",William Fremd,2011
44,"Boren, Zach",FB,JR,6-1,252,"Pickerington, OH",Pickerington,2011
50,"Brewster, Michael",OL,SR,6-5,305,"Orlando, FL",Edgewater,2011
56,"Britt, Dalton",DL,JR,6-2,290,"Bellville, OH",Clear Fork,2011
10,"Brown, Corey",WR,SO,5-11,182,"Upper Darby, PA",Cardinal O'Hara,2011
3,"Brown, Corey",DB,SO,6-1,189,"Monroeville, PA",Gateway,2011
55,"Brown, Tommy",OL,FR,6-5,320,"Akron, OH",Firestone,2011
2,"Bryant, Christian",DB,SO,5-9,190,"Cleveland, OH",Glenville,2011
17,"Buchanan, Ben",P,JR,6-1,180,"Westerville, OH",Westerville Central,2011
72,"Carter, Chris",OL,FR,6-6,350,"Cleveland, OH",Kennedy,2011
17,"Cash, Jeremy",DB,FR,6-2,190,"Plantation, FL",Plantation,2011
5,"Clarke, Dominic",DB,SO,5-10,191,"Frederick, MD",Tuscarora,2011
36,"Crowell, Connor",LB,FR,6-1,220,"Waldorf, MD",North Point,2011
35,"DeLande, Bo",RB,SR,5-11,200,"Hilliard, OH",Davidson,2011
37,"DeLande, Spencer",RB,SO,5-11,190,"Hilliard, OH",Hillard Davidson,2011
16,"Domicone, Zach",DB,JR,6-3,211,"Beavercreek, OH",Beavercreek,2011
60,"Dornbrook, Garrett",LS,SR,6-2,210,"Medina, OH",Medina,2011
20,"Doup, Russell",K,FR,6-1,175,"Mt. Vernon, OH",Mt. Vernon,2011
33,"Durham, David",FB,FR,6-1,245,"Charlotte, NC",Charlotte Christian,2011
34,"Ebner, Nate",DB,SR,6-1,205,"Dublin, OH",Hilliard Davidson,2011
39,"Erwin, Derek",P,SR,5-10,200,"Tiro, OH",Buckeye Central,2011
30,"Evege, Donnie",DB,SR,5-11,180,"Huber Heights, OH",Wayne,2011
57,"Farris, Chase",DL,FR,6-6,265,"Elyria, OH",Elyria,2011
91,"Fellows, Melvin",DE,SO,6-5,270,"Garfield Hts., OH",Garfield Heights,2011
80,"Fields, Chris",WR,SO,6-1,180,"Painesville, OH",Painesville Harvey,2011
88,"Fragel, Reid",TE,JR,6-8,280,"Grosse Pointe Farms, MI",Grosse Point South,2011
24,"Frazier, Adam",DB,SO,6-2,205,"Hilliard, OH",Davidson,2011
18,"Gambrell, DerJuan",DB,FR,6-2,180,"Toledo, OH",Rogers,2011
37,"Georgiades, James",RB,JR,5-11,240,"North Canton, OH",Hoover,2011
53,"Goebel, Garrett",DL,JR,6-3,290,"Villa Park, IL",Montini,2011
19,"Graham, Taylor",QB,FR,6-4,230,"Wheaton, IL",Wheaton North,2011
14,"Grant, Curtis",LB,FR,6-3,225,"Richmond, VA",Hermitage,2011
12,"Grant, Doran",DB,FR,5-11,180,"Akron, OH",St. Vincent-St. Mary,2011
94,"Green, Cavin",DL,SO,6-4,242,"New Albany, OH",Columbus Academy,2011
9,"Griffin, Adam",DB,FR,5-7,180,"Columbus, OH",DeSales,2011
13,"Guiton, Ken",QB,SO,6-2,195,"Houston, TX",Eisenhower,2011
23,"Hagan, Chad",DB,FR,6-1,225,"Canonsburg, PA",Canon-McMillan,2011
51,"Hale, Joel",DT,FR,6-4,305,"Greenwood, IN",Center Grove,2011
7,"Hall, Jordan",RB,JR,5-9,195,"Jeannette, PA",Jeannette,2011
79,"Hall, Marcus",OL,SO,6-5,315,"Cleveland, OH",Glenville,2011
52,"Hankins, Johnathan",DL,SO,6-3,335,"Dearborn Heights, MI",Southeastern,2011
35,"Hastings, James",LB,SO,5-10,205,"Parma Heights, OH",Valley Forge,2011
86,"Hayes, Kenny",DL,FR,6-5,240,"Toledo, OH",Whitmer,2011
54,"Haynes, Bryce",LS,FR,6-4,185,"Cumming, GA",Pinecrest Academy,2011
1,"Herron, Dan",RB,SR,5-10,205,"Warren, OH",Harding,2011
86,"Heuerman, Jeff",TE,FR,6-5,240,"Naples, FL",Barron Collier,2011
49,"Homan, Adam",RB,JR,6-2,248,"Coldwater, OH",Coldwater,2011
7,"Howard, Travis",DB,JR,6-1,190,"Miami, FL",Dr. Krop,2011
65,"Humphries, Nick",OL,FR,6-2,285,"Canton, OH",Central Catholic,2011
34,"Hyde, Carlos",RB,SO,6-1,238,"Naples, FL",Naples,2011
41,"Jackson, Tony",LB,SR,5-10,225,"Columbus, OH",Westland,2011
19,"Johnson, Orhian",DB,JR,6-2,205,"St. Petersburg, FL",Boca Ciega,2011
32,"Klein, Storm",LB,JR,6-2,240,"Newark, OH",Licking Valley,2011
69,"Kramer, Eric",OL,FR,6-4,305,"Cincinnati, OH",St. Xavier,2011
71,"Linsley, Corey",OL,SO,6-2,310,"Youngstown, OH",Boardman,2011
62,"Lorenz, Jon",DL,SO,6-5,275,"Dublin, OH",Bishop Watterson,2011
56,"Makridis, George",LS,SO,6-2,230,"Warren, OH",Warren G. Harding,2011
95,"Matheney, Don",DL,SR,6-1,310,"Lancaster, OH",Lancaster,2011
37,"Maxwell, Chris",DB,SR,6-2,220,"Maineville, OH",Kings,2011
92,"McCary, William",DL,JR,6-1,230,"Carrollton, TX",Creekview,2011
38,"McVey, Scott",LB,FR,6-1,225,"Lyndhurst, OH",St. Ignatius,2011
74,"Mewhort, Jack",OL,SO,6-6,303,"Toledo, OH",St. John's,2011
5,"Miller, Braxton",QB,FR,6-3,210,"Huber Heights, OH",Wayne,2011
88,"Miller, Steve",DL,FR,6-4,245,"Canton, OH",McKinley,2011
26,"Moeller, Tyler",LB,SR,6-1,210,"Cincinnati, OH",Colerain,2011
50,"Moore, J.T.",DL,FR,6-1,252,"Boardman, OH",Boardman,2011
78,"Norwell, Andrew",OL,SO,6-5,308,"Cincinnati, OH",Anderson,2011
20,"Oliver, Nate",DB,SR,6-1,215,"Cleveland, OH",St. Edward,2011
25,"Petrella, Vincent",DB,JR,5-11,165,"Blacklick, OH",Bishop Hartley,2011
8,"Posey, DeVier",WR,SR,6-2,210,"Cincinnati, OH",LaSalle,2011
9,"Reed, Verlon",WR,FR,6-1,195,"Columbus, OH",Marion-Franklin,2011
29,"Rice, Taylor",DB,JR,5-10,182,"Dublin, OH",Scioto,2011
89,"Riley, Jared",WR,SO,5-11,185,"West Chester, OH",Lakota East,2011
87,"Roark, Chris",WR,SR,5-9,180,"Kettering, OH",Alter,2011
25,"Roby, Bradley",DB,FR,5-11,185,"Suwanee, GA",Peachtree Ridge,2011
84,"Ross, Ryan",WR,FR,6-1,187,"Akron, OH",Hoban,2011
6,"Sabino, Etienne",LB,JR,6-3,242,"North Miami Beach, FL",Dr. Krop,2011
82,"Schuck, Kyle",TE,FR,6-1,225,"Selinsgrove, PA",Selinsgrove,2011
83,"Senegal, Donald",WR,JR,6-1,195,"Castaic, CA",James Monroe,2011
10,"Shazier, Ryan",LB,FR,6-2,212,"Plantation, FL",Plantation,2011
76,"Shugarts, J.B.",OL,SR,6-7,300,"Klein, TX",Klein,2011
17,"Siems, Justin",QB,SO,6-2,209,"Charlotte, NC",Providence,2011
54,"Simon, John",DL,JR,6-2,270,"Youngstown, OH",Cardinal Mooney,2011
15,"Smith, Devin",WR,FR,6-3,190,"Massillon, OH",Washington,2011
2,"Smith, Rod",RB,FR,6-3,230,"Fort Wayne, IN",Paul Harding,2011
48,"Smith, Spencer",TE,SR,6-2,236,"Cincinnati, OH",Colerain,2011
59,"Smith, Stewart",DL,JR,6-3,230,"New Albany, OH",Gahanna Lincoln,2011
16,"Spencer, Evan",WR,FR,6-1,190,"Vernon Hills, IL",Vernon Hills,2011
